date,shop_id,channel,spend
2026-06-22,shop_demo_agency,meta,678.07
2026-06-22,shop_demo_agency,google,423.26
2026-06-22,shop_demo_agency,other,158.93
2026-06-23,shop_demo_agency,meta,722.15
2026-06-23,shop_demo_agency,google,416.41
2026-06-23,shop_demo_agency,other,115.35
2026-06-24,shop_demo_agency,meta,668.71
2026-06-24,shop_demo_agency,google,405.56
2026-06-24,shop_demo_agency,other,117.15
2026-06-25,shop_demo_agency,meta,834.39
2026-06-25,shop_demo_agency,google,530.69
2026-06-25,shop_demo_agency,other,142.42
2026-06-26,shop_demo_agency,meta,536.71
2026-06-26,shop_demo_agency,google,371.46
2026-06-26,shop_demo_agency,other,106.05
2026-06-27,shop_demo_agency,meta,366
2026-06-27,shop_demo_agency,google,223.28
2026-06-27,shop_demo_agency,other,83.19
2026-06-28,shop_demo_agency,meta,499.59
2026-06-28,shop_demo_agency,google,307.82
2026-06-28,shop_demo_agency,other,95.26
2026-06-29,shop_demo_agency,meta,691.41
2026-06-29,shop_demo_agency,google,439.84
2026-06-29,shop_demo_agency,other,100.08
2026-06-30,shop_demo_agency,meta,569.4
2026-06-30,shop_demo_agency,google,334.23
2026-06-30,shop_demo_agency,other,97.32
2026-07-01,shop_demo_agency,meta,501.15
2026-07-01,shop_demo_agency,google,349.14
2026-07-01,shop_demo_agency,other,99.21
2026-07-02,shop_demo_agency,meta,814.05
2026-07-02,shop_demo_agency,google,480.11
2026-07-02,shop_demo_agency,other,115.99
2026-07-03,shop_demo_agency,meta,634.07
2026-07-03,shop_demo_agency,google,416.85
2026-07-03,shop_demo_agency,other,88.82
2026-07-04,shop_demo_agency,meta,589.29
2026-07-04,shop_demo_agency,google,374.75
2026-07-04,shop_demo_agency,other,131.21
2026-07-05,shop_demo_agency,meta,473.41
2026-07-05,shop_demo_agency,google,275.07
2026-07-05,shop_demo_agency,other,102.58
2026-07-06,shop_demo_agency,meta,732.15
2026-07-06,shop_demo_agency,google,471.94
2026-07-06,shop_demo_agency,other,127.03
2026-07-07,shop_demo_agency,meta,606.54
2026-07-07,shop_demo_agency,google,390.32
2026-07-07,shop_demo_agency,other,118.51
2026-07-08,shop_demo_agency,meta,644.73
2026-07-08,shop_demo_agency,google,392.53
2026-07-08,shop_demo_agency,other,145.37
2026-07-09,shop_demo_agency,meta,579.08
2026-07-09,shop_demo_agency,google,357.18
2026-07-09,shop_demo_agency,other,100.85
2026-07-10,shop_demo_agency,meta,763.96
2026-07-10,shop_demo_agency,google,469.89
2026-07-10,shop_demo_agency,other,121.28
2026-07-11,shop_demo_agency,meta,356.39
2026-07-11,shop_demo_agency,google,225.62
2026-07-11,shop_demo_agency,other,67.34
2026-07-12,shop_demo_agency,meta,574.44
2026-07-12,shop_demo_agency,google,402.34
2026-07-12,shop_demo_agency,other,82.59
2026-07-13,shop_demo_agency,meta,753.98
2026-07-13,shop_demo_agency,google,490.25
2026-07-13,shop_demo_agency,other,106.18
2026-07-14,shop_demo_agency,meta,785.53
2026-07-14,shop_demo_agency,google,552.7
2026-07-14,shop_demo_agency,other,115.66
2026-07-15,shop_demo_agency,meta,617.95
2026-07-15,shop_demo_agency,google,383.09
2026-07-15,shop_demo_agency,other,79.5
2026-07-16,shop_demo_agency,meta,632.69
2026-07-16,shop_demo_agency,google,375.19
2026-07-16,shop_demo_agency,other,126.66
2026-07-17,shop_demo_agency,meta,623.84
2026-07-17,shop_demo_agency,google,429.76
2026-07-17,shop_demo_agency,other,122.08
2026-07-18,shop_demo_agency,meta,460.88
2026-07-18,shop_demo_agency,google,301.85
2026-07-18,shop_demo_agency,other,73.79
2026-07-19,shop_demo_agency,meta,385.7
2026-07-19,shop_demo_agency,google,264.94
2026-07-19,shop_demo_agency,other,67.27
2026-07-20,shop_demo_agency,meta,695.32
2026-07-20,shop_demo_agency,google,419.94
2026-07-20,shop_demo_agency,other,90.67
2026-07-21,shop_demo_agency,meta,700.89
2026-07-21,shop_demo_agency,google,467.12
2026-07-21,shop_demo_agency,other,114.98
